rank,account_id,tier,p,has_intent,account_type,industry,employee_count,intent_score,snapshot_age_days
1,ACC-01491,A,0.20939284337910957,True,Prospect,Retail,188,33.2,290
2,ACC-00371,A,0.20447911195127128,True,Former Customer,Financial Services,22,63.9,256
3,ACC-01064,A,0.18692811910966464,True,Prospect,Retail,57,61.7,94
4,ACC-01283,A,0.1756819094801484,True,Suspect,Retail,50,61.2,122
5,ACC-01111,A,0.15271838779534938,True,Suspect,Manufacturing,44,58.3,109
6,ACC-00400,A,0.1521825408659366,True,Suspect,Software,109,24.2,86
7,ACC-00122,A,0.14821040002222632,False,Prospect,Manufacturing,698,,38
8,ACC-00646,A,0.14821040002222632,False,Prospect,Manufacturing,637,,272
9,ACC-00657,A,0.14383239787817576,True,Prospect,Financial Services,562,24.2,305
10,ACC-00232,A,0.14083021469325982,True,Prospect,Retail,301,23.6,59
11,ACC-00065,A,0.13663723152019597,True,Suspect,Healthcare,42,8.1,260
12,ACC-00966,A,0.13351038899325313,True,Prospect,Retail,74,51.6,207
13,ACC-00205,A,0.12890521444477065,True,Suspect,Retail,243,63.3,419
14,ACC-00265,A,0.1221454673454665,False,Suspect,Professional Services,133,,93
15,ACC-00533,A,0.1219406610049066,True,Prospect,Manufacturing,65,63.0,13
16,ACC-00146,A,0.1216575438564018,True,Prospect,Manufacturing,62,4.4,192
17,ACC-01382,A,0.11601435870713352,True,Prospect,Healthcare,127,23.9,335
18,ACC-01019,A,0.11588595292577854,True,Prospect,Manufacturing,29,7.7,130
19,ACC-01155,A,0.11569926762188526,True,Prospect,Retail,85,23.5,30
20,ACC-00728,A,0.11565648147974569,True,Prospect,Software,32,8.9,73
21,ACC-01129,A,0.11346219942801374,True,Prospect,Manufacturing,76,77.5,126
22,ACC-00100,A,0.11292289808768276,True,Suspect,Software,16,41.9,94
23,ACC-00958,A,0.11189924570400157,False,Former Customer,Manufacturing,106,,409
24,ACC-01339,A,0.11189756550402105,True,Prospect,Healthcare,42,70.1,240
25,ACC-00686,A,0.11125287722673867,False,Prospect,Professional Services,46,,143
26,ACC-00832,A,0.11024819159307937,True,Prospect,Manufacturing,52,14.6,52
27,ACC-01496,A,0.1093178941909934,True,Former Customer,Retail,277,38.3,113
28,ACC-00768,A,0.1093010022519275,False,Prospect,Manufacturing,69,,213
29,ACC-01102,B,0.10783694502697466,True,Prospect,Professional Services,29,42.5,96
30,ACC-00101,B,0.10684008407039038,True,Former Customer,Manufacturing,30,45.6,140
31,ACC-00175,B,0.10628786068898238,True,Former Customer,Professional Services,317,24.6,98
32,ACC-00260,B,0.1061160830407632,True,Prospect,Financial Services,85,30.8,427
33,ACC-00506,B,0.10604810116440141,True,Suspect,Software,16,51.8,20
34,ACC-00076,B,0.10311322001047164,True,Suspect,Financial Services,149,34.6,87
35,ACC-00935,B,0.10240259693077054,False,Suspect,Manufacturing,218,,234
36,ACC-00802,B,0.10216062385316477,True,Prospect,Software,150,50.7,113
37,ACC-00828,B,0.10121894180391575,True,Prospect,Healthcare,23,38.8,60
38,ACC-00527,B,0.09929880086327554,True,Suspect,Retail,107,30.7,343
39,ACC-01415,B,0.0978322737413732,False,Prospect,Professional Services,143,,437
40,ACC-00730,B,0.09757081236463522,True,Suspect,Financial Services,16,41.2,302
41,ACC-00873,B,0.09678499033697463,False,Prospect,Professional Services,29,,211
42,ACC-01493,B,0.09569658236626725,True,Prospect,Healthcare,87,40.7,91
43,ACC-00570,B,0.09539632839806324,False,Prospect,Manufacturing,28,,105
44,ACC-01471,B,0.0950813307224932,True,Former Customer,Professional Services,83,45.7,29
45,ACC-00915,B,0.09501886788438467,True,Prospect,Retail,93,43.7,104
46,ACC-01021,B,0.09493761786388115,True,Prospect,Retail,135,39.3,290
47,ACC-00082,B,0.09421547420149011,True,Prospect,Professional Services,50,53.3,81
48,ACC-00758,B,0.09410274838523036,False,Suspect,Professional Services,9,,62
49,ACC-00183,B,0.09390799678253292,True,Prospect,Retail,29,67.8,447
50,ACC-01386,B,0.0934513979973762,True,Suspect,Healthcare,60,36.3,355
51,ACC-00421,B,0.09226289219416876,True,Suspect,Software,88,30.1,249
52,ACC-01128,B,0.09209820670381863,False,Suspect,Retail,20,,143
53,ACC-00962,B,0.09170971703162659,True,Prospect,Software,90,57.9,321
54,ACC-00787,B,0.0906834440762641,True,Former Customer,Manufacturing,62,53.2,119
55,ACC-00391,B,0.0893375356770386,False,Former Customer,Retail,81,,150
56,ACC-00839,B,0.08920446052655882,True,Prospect,Manufacturing,48,9.8,112
57,ACC-01394,B,0.08826302031049164,False,Suspect,Healthcare,61,,81
58,ACC-00042,B,0.08824699546555363,True,Prospect,Software,191,34.0,617
59,ACC-00525,B,0.08814372839602577,True,Prospect,Retail,14,27.6,89
60,ACC-00270,B,0.08755912602863473,True,Suspect,Financial Services,45,12.0,95
61,ACC-01326,B,0.08733723282712451,True,Former Customer,Retail,21,22.5,432
62,ACC-01008,B,0.08684647485124945,False,Prospect,Professional Services,30,,79
63,ACC-00989,B,0.08684647485124945,False,Suspect,Professional Services,9,,92
64,ACC-01404,B,0.08423324074642272,False,Suspect,Software,175,,105
65,ACC-01440,B,0.08404799046149894,True,Prospect,Manufacturing,175,7.6,97
66,ACC-00690,B,0.08355112935570029,False,Prospect,Retail,30,,75
67,ACC-01289,B,0.08355112935570029,False,Prospect,Financial Services,51,,46
68,ACC-00200,B,0.08338605388980742,True,Prospect,Retail,47,43.7,116
69,ACC-01429,B,0.08275530760158395,False,Suspect,Software,80,,38
70,ACC-01043,B,0.08266988385239853,True,Former Customer,Software,56,14.3,43
71,ACC-01334,B,0.08175445106980246,True,Suspect,Retail,111,55.0,281
72,ACC-00233,B,0.07996952485132162,True,Prospect,Manufacturing,102,22.1,161
73,ACC-00323,B,0.07955427291334784,False,Prospect,Healthcare,58,,264
74,ACC-01411,B,0.07954199806076186,True,Prospect,Retail,52,22.3,69
75,ACC-01475,C,0.07834794029739756,True,Suspect,Retail,107,41.7,49
76,ACC-00718,C,0.07784778767648635,True,Prospect,Manufacturing,25,70.2,224
77,ACC-00887,C,0.07770539894494245,True,Prospect,Manufacturing,25,58.1,98
78,ACC-00414,C,0.07757703759970261,False,Prospect,Financial Services,14,,105
79,ACC-01432,C,0.0775199048887803,True,Suspect,Retail,7,18.8,269
80,ACC-00631,C,0.07656075349865811,False,Prospect,Software,38,,211
81,ACC-00501,C,0.07643744130444104,True,Suspect,Financial Services,66,23.8,129
82,ACC-01414,C,0.07633136106572597,True,Prospect,Manufacturing,34,23.5,115
83,ACC-01100,C,0.07562761093968497,True,Prospect,Software,357,30.7,71
84,ACC-00461,C,0.07560638561495713,False,Suspect,Professional Services,173,,247
85,ACC-01179,C,0.0755838240105348,True,Suspect,Manufacturing,672,51.6,89
86,ACC-00629,C,0.07502559996471315,False,Prospect,Retail,66,,31
87,ACC-01333,C,0.07499235535523835,False,Suspect,Manufacturing,26,,100
88,ACC-01157,C,0.0742399253387425,True,Suspect,Financial Services,125,13.3,130
89,ACC-01214,C,0.07353761696611616,False,Former Customer,Software,57,,132
90,ACC-00160,C,0.07323581038377505,True,Suspect,Professional Services,63,6.9,117
91,ACC-00700,C,0.07297778957086674,False,Suspect,Professional Services,5,,133
92,ACC-00492,C,0.07238862700438785,False,Suspect,Retail,559,,0
93,ACC-00431,C,0.07158461603440144,False,Prospect,Manufacturing,25,,73
94,ACC-01416,C,0.07104518709883523,True,Prospect,Professional Services,111,30.5,189
95,ACC-00285,C,0.0706729493953822,True,Suspect,Professional Services,140,36.6,143
96,ACC-00735,C,0.07056994818026825,False,Prospect,Financial Services,103,,350
97,ACC-00581,C,0.07055151330668906,False,Suspect,Software,25,,137
98,ACC-00398,C,0.07033695634946249,False,Suspect,Manufacturing,96,,129
99,ACC-00041,C,0.07006174329264118,True,Prospect,Professional Services,122,12.1,123
100,ACC-00112,C,0.06979299013168544,True,Prospect,Financial Services,145,15.0,81
101,ACC-01459,C,0.06935069797198619,True,Suspect,Software,128,40.7,93
102,ACC-01151,C,0.06909317629678764,True,Prospect,Retail,44,8.0,61
103,ACC-01177,C,0.06870148587318814,True,Former Customer,Retail,30,31.5,239
104,ACC-00552,C,0.06781443943149847,True,Prospect,Software,25,10.1,82
105,ACC-00479,C,0.0663891527055778,True,Prospect,Manufacturing,126,26.5,100
106,ACC-00687,C,0.0663153776279458,False,Prospect,Manufacturing,54,,138
107,ACC-00186,C,0.06610790942333937,True,Suspect,Manufacturing,20,24.6,590
108,ACC-00086,C,0.06541165661116945,True,Prospect,Professional Services,26,17.9,109
109,ACC-00438,C,0.06508885191105332,True,Prospect,Retail,22,4.3,639
110,ACC-00264,C,0.06427785553527147,True,Suspect,Manufacturing,46,37.3,45
111,ACC-00015,C,0.06404574899000844,False,Prospect,Software,91,,83
112,ACC-00806,C,0.06404574899000844,True,Prospect,Healthcare,82,26.0,130
113,ACC-00934,C,0.0633673830547969,True,Prospect,Retail,20,11.2,296
114,ACC-01091,C,0.06296333076285823,True,Prospect,Professional Services,38,19.5,457
115,ACC-00558,C,0.06256893131831724,True,Prospect,Software,123,40.6,112
116,ACC-00191,C,0.06253597141630658,True,Prospect,Professional Services,33,55.4,40
117,ACC-00908,C,0.06250432815985645,True,Suspect,Financial Services,143,14.4,525
118,ACC-00315,C,0.062491824676382424,False,Suspect,Retail,6,,75
119,ACC-00883,C,0.06231185223008794,False,Prospect,Financial Services,56,,7
120,ACC-01020,C,0.06191247621078547,True,Suspect,Manufacturing,138,17.2,86
121,ACC-01352,C,0.06079311905488056,False,Former Customer,Financial Services,115,,96
122,ACC-01269,C,0.06040697035214475,True,Suspect,Manufacturing,36,15.2,598
123,ACC-00564,C,0.06038799011329074,False,Prospect,Professional Services,7,,104
124,ACC-00392,C,0.06009750825384082,True,Prospect,Retail,35,47.8,171
125,ACC-00682,C,0.05936432942600208,True,Former Customer,Healthcare,106,31.2,383
126,ACC-00483,C,0.05893482596998893,True,Prospect,Professional Services,50,14.8,32
127,ACC-00776,C,0.05839778385725003,True,Suspect,Financial Services,1909,31.1,118
128,ACC-01033,C,0.05818866319005222,True,Suspect,Healthcare,202,1.7,109
129,ACC-00268,C,0.05780248533593858,True,Former Customer,Retail,97,40.6,33
130,ACC-00067,C,0.0575535356773308,True,Prospect,Retail,161,7.2,183
131,ACC-00070,C,0.05754847747439209,True,Prospect,Software,130,7.1,124
132,ACC-01135,C,0.05750024955761577,True,Prospect,Retail,195,47.7,192
133,ACC-00498,C,0.057175315707558697,True,Prospect,Financial Services,44,25.7,263
134,ACC-01227,C,0.05695528772983976,True,Suspect,Retail,163,27.4,177
135,ACC-00284,C,0.05691834169751893,False,Suspect,Manufacturing,39,,64
136,ACC-00433,C,0.05675056282920454,True,Former Customer,Manufacturing,291,35.8,515
137,ACC-00011,C,0.05665453010380998,False,Suspect,Manufacturing,17,,148
