rank,account_id,tier,p,has_intent,account_type,industry,employee_count,intent_score,trial_started,trial_active_users,mql_count_90d,web_touchpoints_90d,sales_contacts_90d,snapshot_date
1,ACC-01491,A,0.20939284337910957,True,Prospect,Retail,188,33.2,1,3,1,0,5,2025-10-15
2,ACC-00371,A,0.20447911195127128,True,Former Customer,Financial Services,22,63.9,1,2,4,8,2,2025-11-18
3,ACC-01064,A,0.18692811910966464,True,Prospect,Retail,57,61.7,1,1,1,0,5,2026-04-29
4,ACC-01283,A,0.1756819094801484,True,Suspect,Retail,50,61.2,0,0,0,3,4,2026-04-01
5,ACC-01111,A,0.15271838779534938,True,Suspect,Manufacturing,44,58.3,1,2,0,4,3,2026-04-14
6,ACC-00400,A,0.1521825408659366,True,Suspect,Software,109,24.2,0,0,1,0,4,2026-05-07
7,ACC-00646,A,0.14821040002222632,False,Prospect,Manufacturing,637,,0,0,2,3,6,2025-11-02
8,ACC-00122,A,0.14821040002222632,False,Prospect,Manufacturing,698,,0,0,0,5,6,2026-06-24
9,ACC-00657,A,0.14383239787817576,True,Prospect,Financial Services,562,24.2,0,0,4,8,0,2025-09-30
10,ACC-00232,A,0.1408302146932598,True,Prospect,Retail,301,23.6,1,3,1,0,1,2026-06-03
11,ACC-00065,A,0.13663723152019597,True,Suspect,Healthcare,42,8.1,1,0,0,13,1,2025-11-14
12,ACC-00966,A,0.13351038899325313,True,Prospect,Retail,74,51.6,0,0,4,8,0,2026-01-06
13,ACC-00205,A,0.12890521444477065,True,Suspect,Retail,243,63.3,0,0,2,5,1,2025-06-08
14,ACC-00265,A,0.1221454673454665,False,Suspect,Professional Services,133,,1,0,0,0,5,2026-04-30
15,ACC-00533,A,0.1219406610049066,True,Prospect,Manufacturing,65,63.0,0,0,1,7,0,2026-07-19
16,ACC-00146,A,0.1216575438564018,True,Prospect,Manufacturing,62,4.4,1,0,0,3,5,2026-01-21
17,ACC-01382,A,0.11601435870713352,True,Prospect,Healthcare,127,23.9,0,0,0,2,4,2025-08-31
18,ACC-01019,A,0.11588595292577854,True,Prospect,Manufacturing,29,7.7,0,0,5,0,4,2026-03-24
